Relatório de palavras-chave da rede de pesquisa
Todo o período
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Status,Motivos do status,Valor conv.,Valor conv. / custo,URL final,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.,Valor original da conv.
Ativado,"""bolo mesversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo e doces para aniversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo de aniversario personalizado""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,5,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doces para aniversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""mesa de doces aniversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doces para mesversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,[bolo de aniversario personalizado],Correspondência exata,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo de aniversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,5,75,"6,67%",BRL,"4,00","20,01","0,00%","0,00","0,00","0,00"
Ativado,[doces para aniversario],Correspondência exata,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doces personalizados aniversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --,,"0,00","0,00",,5,85,"5,88%",BRL,"4,00","20,01","0,00%","0,00","0,00","0,00"
,,Total: Palavras-chave no seu grupo de anúncios,,,"0,00","0,00",,5,85,"5,88%",BRL,"4,00","20,01","0,00%","0,00","0,00","0,00"
,,Total: Suas palavras-chave,,,"0,00","0,00",,5,85,"5,88%",BRL,"4,00","20,01","0,00%","0,00","0,00",0
,,Total: Correspondências expandidas da AI Max,,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00",0
,,Total: Correspondências de páginas de destino da AI Max,,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
,,Total: Inclusões de URL no seu grupo de anúncios,,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
,,Total: Grupo de anúncios,,,"0,00","0,00",,5,85,"5,88%",BRL,"4,00","20,01","0,00%","0,00","0,00","0,00"
